sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run04_swab_barcode23,Swab,1104,1070,96.9,1070,100.0,1070,100.0,539,50.4,779,72.8,796,72.1,274,96.9
Run05_fecal_barcode01,Fecal,20226,17161,84.8,17161,100.0,17161,100.0,8656,50.4,13496,78.6,14355,71.0,2805,84.8
Run05_fecal_barcode02,Fecal,22010,20211,91.8,20211,100.0,20211,100.0,9778,48.4,13791,68.2,17202,78.2,3008,91.8
Run05_fecal_barcode03,Fecal,0,17076,NA,17075,100.0,17075,100.0,8444,49.5,13622,79.8,14723,NA,2351,NA
Run05_fecal_barcode04,Fecal,21574,19099,88.5,19098,100.0,19098,100.0,9440,49.4,13762,72.1,15446,71.6,3652,88.5
Run05_fecal_barcode05,Fecal,24331,22193,91.2,22191,100.0,22191,100.0,11025,49.7,16155,72.8,19898,81.8,2292,91.2
Run05_fecal_barcode06,Fecal,23977,21412,89.3,21411,100.0,21411,100.0,9984,46.6,16922,79.0,18845,78.6,2566,89.3
Run05_fecal_barcode07,Fecal,26227,24124,92.0,24123,100.0,24123,100.0,11771,48.8,17292,71.7,21159,80.7,2964,92.0
Run05_fecal_barcode08,Fecal,27402,25166,91.8,25166,100.0,25166,100.0,12504,49.7,14020,55.7,23464,85.6,1701,91.8
Run05_fecal_barcode09,Fecal,0,19746,NA,19746,100.0,19746,100.0,9851,49.9,16176,81.9,16033,NA,3712,NA
Run05_fecal_barcode10,Fecal,22419,20280,90.5,20279,100.0,20279,100.0,9834,48.5,14546,71.7,17723,79.1,2556,90.5
Run05_fecal_barcode11,Fecal,20705,18291,88.3,18291,100.0,18291,100.0,9030,49.4,13066,71.4,15107,73.0,3184,88.3
Run05_fecal_barcode12,Fecal,24449,22465,91.9,22464,100.0,22464,100.0,11603,51.7,16567,73.7,20139,82.4,2324,91.9
Run05_fecal_barcode13,Fecal,22042,19796,89.8,19796,100.0,19796,100.0,9507,48.0,13745,69.4,16244,73.7,3552,89.8
Run05_fecal_barcode14,Fecal,20152,17594,87.3,17594,100.0,17594,100.0,8733,49.6,11454,65.1,13064,64.8,4530,87.3
Run05_fecal_barcode15,Fecal,30714,29165,95.0,29163,100.0,29163,100.0,14321,49.1,20085,68.9,26704,86.9,2459,95.0
Run05_fecal_barcode16,Fecal,33116,31451,95.0,31451,100.0,31451,100.0,15741,50.0,22465,71.4,29196,88.2,2255,95.0
Run05_fecal_barcode17,Fecal,24367,21943,90.1,21943,100.0,21943,100.0,11062,50.4,13882,63.3,19789,81.2,2154,90.1
Run05_fecal_barcode18,Fecal,26801,24643,91.9,24643,100.0,24643,100.0,12092,49.1,15371,62.4,21235,79.2,3407,91.9
Run05_fecal_barcode19,Fecal,33901,32537,96.0,32537,100.0,32537,100.0,15713,48.3,25731,79.1,30758,90.7,1778,96.0
Run05_fecal_barcode20,Fecal,13,10,76.9,10,100.0,10,100.0,3,30.0,6,60.0,2,15.4,8,76.9
Run06_fecal_barcode01,Fecal,16948,14698,86.7,14698,100.0,14698,100.0,7345,50.0,10229,69.6,11673,68.9,3025,86.7
Run06_fecal_barcode02,Fecal,19400,17532,90.4,17532,100.0,17532,100.0,8518,48.6,11237,64.1,14903,76.8,2629,90.4
Run06_fecal_barcode03,Fecal,23975,22234,92.7,22234,100.0,22234,100.0,10996,49.5,16165,72.7,19680,82.1,2554,92.7
